2001	303	2
1003	666	2
4001	707	2
3004	707	4
2004	404	1
4004	444	1
3003	211	3
1001	333	1
2003	888	3
8008	999	3
3003	808	4
2004	202	4
3003	333	5
4002	909	3
8008	777	1
1002	999	5
1001	111	1
6006	555	1
2002	606	3
4003	808	1
4004	555	4
2002	122	3
2002	808	1
7007	666	1
4004	606	2
5005	555	2
2004	606	7
2001	505	4
2002	444	2
3001	606	4
5003	808	1
3002	707	1
9009	666	1
1002	101	3
4002	808	1
2002	505	3
1004	888	4
3001	303	2
6006	909	1
1004	101	1
4003	122	3
2003	404	2
3004	606	2
9009	303	3
1004	303	2
1003	999	1
9009	999	1
5001	122	2
3002	505	1
2002	222	1
